id,user_id,order_date,status
1,617,2022-09-09,shipped
2,672,2022-09-30,completed
3,303,2022-10-06,returned
4,1133,2022-10-08,placed
5,1276,2022-09-10,returned
6,403,2022-09-10,completed
7,391,2022-10-07,shipped
8,1405,2022-09-19,return_pending
9,603,2022-09-13,placed
10,38,2022-10-06,shipped
11,1526,2022-09-08,returned
12,366,2022-09-19,placed
13,1322,2022-10-08,return_pending
14,690,2022-09-12,shipped
15,530,2022-09-28,placed
16,1397,2022-09-17,returned
17,1772,2022-10-04,placed
18,1698,2022-09-19,shipped
19,481,2022-09-18,placed
20,99,2022-09-06,return_pending
21,1054,2022-10-01,completed
22,200,2022-09-11,completed
23,1480,2022-10-06,shipped
24,432,2022-09-11,return_pending
25,1734,2022-09-12,completed
26,1212,2022-09-13,placed
27,539,2022-09-09,shipped
28,1961,2022-09-25,returned
29,703,2022-09-24,shipped
30,272,2022-09-06,shipped
31,1272,2022-09-29,placed
32,478,2022-09-23,shipped
33,711,2022-09-28,shipped
34,551,2022-09-14,returned
35,677,2022-09-27,returned
36,1819,2022-09-06,placed
37,579,2022-09-06,placed
38,1158,2022-09-07,placed
39,1666,2022-09-13,completed
40,1951,2022-09-26,shipped
41,942,2022-10-01,completed
42,825,2022-10-07,placed
43,1420,2022-09-09,shipped
44,1833,2022-09-14,returned
45,1211,2022-09-20,completed
46,9,2022-09-22,shipped
47,344,2022-09-13,placed
48,1463,2022-10-06,return_pending
49,112,2022-09-07,return_pending
50,710,2022-10-05,completed
51,1703,2022-09-24,returned
52,243,2022-09-18,return_pending
53,342,2022-09-05,return_pending
54,204,2022-10-05,return_pending
55,6,2022-09-13,shipped
56,1142,2022-09-22,shipped
57,1324,2022-09-09,completed
58,671,2022-09-24,returned
59,883,2022-10-08,placed
60,53,2022-10-07,completed
61,1570,2022-09-18,return_pending
62,35,2022-10-07,return_pending
63,856,2022-10-04,returned
64,1586,2022-09-09,placed
65,732,2022-09-30,return_pending
66,582,2022-09-09,shipped
67,511,2022-09-06,return_pending
68,1023,2022-09-18,return_pending
69,226,2022-09-10,returned
70,785,2022-09-08,return_pending
71,1462,2022-09-11,placed
72,270,2022-09-16,placed
73,1942,2022-10-06,shipped
74,516,2022-09-12,placed
75,706,2022-09-15,placed
76,822,2022-09-26,completed
77,1831,2022-09-13,returned
78,712,2022-09-14,return_pending
79,114,2022-09-22,completed
80,1837,2022-10-01,shipped
81,691,2022-09-21,completed
82,1118,2022-09-07,returned
83,1405,2022-09-24,returned
84,1473,2022-09-22,shipped
85,128,2022-09-10,returned
86,556,2022-09-09,return_pending
87,1408,2022-09-12,placed
88,1521,2022-09-29,shipped
89,1165,2022-09-30,placed
90,1403,2022-09-30,placed
91,263,2022-10-03,completed
92,1038,2022-09-24,placed
93,1780,2022-10-03,returned
94,656,2022-09-14,shipped
95,1930,2022-09-28,shipped
96,1869,2022-09-14,return_pending
97,772,2022-09-21,return_pending
98,1749,2022-09-22,completed
99,1359,2022-09-16,return_pending
100,286,2022-10-02,placed
101,1302,2022-10-01,placed
102,803,2022-10-08,returned
103,1095,2022-09-08,return_pending
104,765,2022-09-25,completed
105,1432,2022-10-08,completed
106,423,2022-09-30,completed
107,262,2022-09-23,completed
108,778,2022-09-25,return_pending
109,1976,2022-09-06,return_pending
110,1701,2022-09-29,shipped
111,305,2022-09-05,placed
112,854,2022-09-11,shipped
113,87,2022-09-25,return_pending
114,1606,2022-09-18,shipped
115,1043,2022-09-15,returned
116,1603,2022-09-08,placed
117,1592,2022-09-23,shipped
118,232,2022-09-30,returned
119,676,2022-09-24,shipped
120,481,2022-09-11,return_pending
121,1233,2022-09-05,completed
122,957,2022-09-28,placed
123,1382,2022-09-14,returned
124,510,2022-10-05,completed
125,332,2022-09-25,shipped
126,742,2022-09-22,returned
127,1398,2022-09-21,shipped
128,1650,2022-09-13,shipped
129,867,2022-09-19,shipped
130,289,2022-09-10,return_pending
131,1408,2022-10-07,placed
132,725,2022-09-21,completed
133,744,2022-09-14,completed
134,124,2022-09-08,placed
135,1086,2022-09-14,returned
136,1329,2022-09-26,placed
137,1331,2022-09-21,returned
138,867,2022-09-13,return_pending
139,472,2022-09-18,return_pending
140,1825,2022-10-08,shipped
141,291,2022-09-12,placed
142,218,2022-09-26,shipped
143,1760,2022-10-08,return_pending
144,1968,2022-09-24,placed
145,1905,2022-09-14,placed
146,1303,2022-09-14,completed
147,203,2022-09-12,placed
148,837,2022-10-01,placed
149,503,2022-09-15,return_pending
150,332,2022-09-18,returned
151,269,2022-09-27,completed
152,1800,2022-09-17,placed
153,1311,2022-09-29,completed
154,365,2022-09-15,placed
155,1040,2022-09-16,placed
156,725,2022-09-30,completed
157,800,2022-09-25,returned
158,595,2022-09-11,return_pending
159,1235,2022-09-14,placed
160,872,2022-10-07,shipped
161,1596,2022-09-28,placed
162,1781,2022-10-03,placed
163,714,2022-09-07,placed
164,1562,2022-10-02,completed
165,1230,2022-09-11,placed
166,281,2022-09-10,returned
167,1624,2022-09-15,returned
168,1303,2022-09-28,return_pending
169,963,2022-10-01,completed
170,764,2022-09-05,returned
171,1278,2022-09-22,placed
172,842,2022-09-17,shipped
173,972,2022-10-03,shipped
174,175,2022-09-29,return_pending
175,1495,2022-09-08,placed
176,508,2022-09-28,placed
177,11,2022-09-15,placed
178,219,2022-10-04,returned
179,1506,2022-10-05,return_pending
180,775,2022-10-03,shipped
181,1530,2022-09-08,returned
182,20,2022-09-14,shipped
183,557,2022-10-08,placed
184,1634,2022-09-07,shipped
185,1910,2022-09-06,placed
186,1115,2022-09-14,return_pending
187,749,2022-09-09,returned
188,400,2022-10-04,returned
189,1908,2022-10-08,shipped
190,723,2022-10-02,completed
191,1879,2022-09-07,shipped
192,61,2022-09-25,returned
193,1425,2022-09-17,return_pending
194,77,2022-09-13,returned
195,1085,2022-10-01,completed
196,207,2022-09-20,return_pending
197,1220,2022-10-05,placed
198,1559,2022-09-09,returned
199,1103,2022-10-07,completed
200,648,2022-09-07,return_pending
201,1785,2022-10-05,placed
202,411,2022-10-07,placed
203,1955,2022-09-09,shipped
204,1227,2022-09-27,placed
205,1779,2022-09-07,returned
206,1810,2022-09-09,placed
207,86,2022-09-16,placed
208,1524,2022-09-28,placed
209,1916,2022-09-26,placed
210,1689,2022-09-27,placed
211,539,2022-10-02,shipped
212,292,2022-10-05,returned
213,1931,2022-09-05,placed
214,571,2022-09-20,shipped
215,840,2022-10-03,shipped
216,1706,2022-09-16,return_pending
217,1355,2022-09-14,completed
218,587,2022-10-01,shipped
219,365,2022-09-24,completed
220,624,2022-09-29,completed
221,1429,2022-10-01,returned
222,1094,2022-09-25,return_pending
223,520,2022-09-16,completed
224,1108,2022-10-04,return_pending
225,105,2022-09-13,return_pending
226,739,2022-10-04,placed
227,1400,2022-09-27,shipped
228,285,2022-09-29,returned
229,825,2022-09-17,shipped
230,68,2022-10-06,return_pending
231,1906,2022-09-16,placed
232,1627,2022-09-20,shipped
233,89,2022-09-06,shipped
234,1532,2022-09-22,placed
235,1565,2022-09-09,return_pending
236,598,2022-10-06,completed
237,1010,2022-09-13,return_pending
238,1968,2022-09-11,shipped
239,1326,2022-10-07,returned
240,130,2022-09-16,shipped
241,1651,2022-09-07,returned
242,917,2022-09-05,return_pending
243,1360,2022-09-30,completed
244,7,2022-09-19,placed
245,423,2022-10-02,placed
246,1921,2022-10-07,return_pending
247,542,2022-09-18,placed
248,1516,2022-09-18,return_pending
249,865,2022-09-23,shipped
250,1438,2022-09-16,shipped
251,1741,2022-09-25,returned
252,1420,2022-09-27,shipped
253,1230,2022-09-21,shipped
254,570,2022-10-08,placed
255,1023,2022-09-15,placed
256,1235,2022-10-03,shipped
257,1134,2022-09-16,return_pending
258,1154,2022-09-12,return_pending
259,523,2022-09-08,completed
260,535,2022-09-16,returned
261,967,2022-10-08,returned
262,953,2022-09-20,placed
263,227,2022-10-07,shipped
264,528,2022-09-26,completed
265,1529,2022-09-30,return_pending
266,1352,2022-09-10,return_pending
267,1357,2022-10-03,returned
268,1286,2022-09-25,shipped
269,230,2022-10-02,placed
270,1263,2022-10-02,return_pending
271,1745,2022-09-09,placed
272,1046,2022-09-29,completed
273,1449,2022-09-08,shipped
274,1425,2022-09-09,return_pending
275,876,2022-09-19,completed
276,1126,2022-09-24,placed
277,1701,2022-10-08,return_pending
278,1416,2022-09-05,return_pending
279,311,2022-10-03,shipped
280,1659,2022-09-12,completed
281,1101,2022-09-10,returned
282,355,2022-09-19,shipped
283,4,2022-09-26,returned
284,655,2022-10-05,completed
285,400,2022-09-30,placed
286,509,2022-09-27,shipped
287,718,2022-09-28,shipped
288,1040,2022-09-13,return_pending
289,741,2022-09-21,placed
290,1200,2022-09-18,return_pending
291,1194,2022-09-28,returned
292,465,2022-10-02,completed
293,1615,2022-09-14,return_pending
294,1895,2022-09-21,shipped
295,1188,2022-09-28,return_pending
296,1017,2022-09-08,placed
297,479,2022-10-05,completed
298,1274,2022-09-28,placed
299,1559,2022-10-06,return_pending
300,585,2022-09-28,placed
301,1991,2022-10-06,return_pending
302,21,2022-09-26,placed
303,1091,2022-09-13,returned
304,1290,2022-09-08,shipped
305,469,2022-09-12,placed
306,1962,2022-10-06,returned
307,138,2022-09-08,return_pending
308,237,2022-09-08,completed
309,1113,2022-10-03,returned
310,311,2022-10-05,shipped
311,1347,2022-09-21,placed
312,186,2022-10-06,completed
313,428,2022-09-12,placed
314,1119,2022-09-16,returned
315,546,2022-09-27,completed
316,910,2022-10-06,shipped
317,891,2022-09-09,completed
318,190,2022-10-07,shipped
319,1589,2022-10-07,shipped
320,1489,2022-09-20,returned
321,1339,2022-09-18,placed
322,735,2022-09-06,shipped
323,1581,2022-09-13,shipped
324,1308,2022-10-04,return_pending
325,73,2022-10-06,return_pending
326,1800,2022-09-27,returned
327,625,2022-09-22,shipped
328,352,2022-09-20,placed
329,1121,2022-09-11,completed
330,660,2022-09-23,returned
331,1365,2022-09-10,placed
332,491,2022-09-24,completed
333,801,2022-09-28,placed
334,1215,2022-09-13,completed
335,158,2022-10-03,shipped
336,1176,2022-09-30,completed
337,120,2022-10-03,return_pending
338,29,2022-09-17,return_pending
339,1084,2022-09-30,completed
340,108,2022-09-11,return_pending
341,13,2022-10-03,shipped
342,474,2022-10-04,completed
343,104,2022-09-15,completed
344,869,2022-09-26,completed
345,989,2022-09-23,completed
346,631,2022-10-08,shipped
347,1287,2022-09-15,returned
348,1086,2022-09-07,completed
349,232,2022-10-03,return_pending
350,1541,2022-09-06,return_pending
351,555,2022-09-27,shipped
352,805,2022-09-16,completed
353,1902,2022-09-19,shipped
354,45,2022-09-09,return_pending
355,88,2022-09-27,return_pending
356,316,2022-09-26,return_pending
357,1094,2022-10-05,returned
358,106,2022-09-15,shipped
359,1836,2022-10-04,shipped
